"Filename","RRT","Group","Class","MF","VOC","Mass_ng","Site","Year","Month","Sample","Plot","ID","Treatment","Tenax_tube","Depth_collar_cm","Radius_collar","Surface_area_m2","V_collar_cm3","V_chamber_cm3","V_total_cm3","Conc_ug_L","ER_ug_m2_h","Conc_blank","ER_blank","ER_final"
"1.1_c_AUG.CDF",2.07,"ST","ST","C15H24O","ost",0,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0,0,0,0,0
"1.1_c_AUG.CDF",1.687,"OVOC","aldehyde","C12H22O","2-butyl-2-octenal",0,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0,0,0,0,0
"1.1_c_AUG.CDF",1.898,"ST","ST","C15H24","a-farnesene",0,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0,0,6.22850648702595e-06,0.0114355600119868,0
"1.1_c_AUG.CDF",1.94,"ST","ST","C15H24","a-bisabolene",0.079004278,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,3.94232924151697e-05,0.0906029982045811,3.37210469061876e-05,0.0619119617786347,0.0286910364259463
"1.1_c_AUG.CDF",1.52,"HC","alkane","C15H32","2,6,11-trimethyl-dodecane",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",1.552,"HC","alkane","C13H28","tridecane",0.505475281,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0.000252233174151697,0.579684760575916,0.000251596555389222,0.461932168483042,0.117752592092874
"1.1_c_AUG.CDF",1.565,"OVOC","ovoc","","ovoc",0.005741283,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,2.86491167664671e-06,0.00658416818062677,1.81452095808383e-06,0.00333146691785551,0.00325270126277126
"1.1_c_AUG.CDF",1.599,"HC","alkane","C15H32","2,6,10-trimethyl-dodecane",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",1.599,"oMT","oMT","C10H16O","omt",0.026246988,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,1.30972994011976e-05,0.0301003422452599,7.62166417165669e-06,0.0139934024645781,0.0161069397806819
"1.1_c_AUG.CDF",1.604,"OVOC","oBz","C8H6O4","1,2-benzenedicarboxylic acid",1.125842008,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,0.000561797409181637,1.29112832889209,0.000208264225548902,0.382373857131779,0.908754471760309
"1.1_c_AUG.CDF",1.608,"HC","alkane","C16H34","2,2,4,4,6,8,8-heptamethyl-nonane",NA,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,NA,NA,NA,NA,NA
"1.1_c_AUG.CDF",1.623,"oMT","oMT","","omt",0.021602783,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,1.07798318363273e-05,0.0247743155043193,7.47994860279441e-06,0.0137332121772703,0.011041103327049
"1.1_c_AUG.CDF",1.846,"ST","ST","C15H24","a-humulene",0.046905248,"SWAN",2018,"August","1_1_c",1,"1_c","control",427205,4.3,9.5,0.028,1219.18,4842.9,6062.08,2.34058123752495e-05,0.0537914681066945,4.88757055888224e-05,0.0897359688961413,0
