RRT	Group	Class	Exclude	MF	VOC	Year	3-2378_191101_40_1_c.CDF	4-2379_191101_41_2_h.CDF	5-2381_191101_43_4_hxn.CDF	6-2382_191101_44_5_h.CDF	7-2383_191101_45_6_n.CDF	8-2384_191101_46_7_hxn.CDF	9-2385_191101_47_8_h.CDF	10-2386_191101_48_9_n.CDF	11-2387_191101_49_11_n.CDF	12-2389_191101_51_19_c.CDF	13-2390_191101_52_blank_1.CDF	14-2391_191101_53_1_c.CDF	15-2392_191101_54_2_h.CDF	16-2393_191101_55_3_hxn.CDF	17-2394_191101_56_4_hxn.CDF	18-2395_191101_57_5_h.CDF	19-2396_191101_58_6_n.CDF	20-2397_191101_59_7_hxn.CDF	23-2403_191101_61_9_n.CDF	24-2404_191101_62_11_n.CDF	25-2406_191101_64_19_c.CDF	26-2407_191101_65_blank_1.CDF	27-2408_191101_66_C_1.CDF	28-2409_191101_67_C_2.CDF	29-2410_191101_68_C_3.CDF	30-2411_191101_69_LN_1.CDF	31-2412_191101_70_LN_2.CDF	32-2414_191101_72_blank.CDF	33-2415_191101_73_C_1.CDF	34-2416_191101_74_C_2.CDF	35-2417_191101_75_C_3.CDF	36-2418_191101_76_LN_1.CDF	37-2419_191101_77_LN_2.CDF	38-2420_191101_78_LN_3.CDF	39-2421_191101_79_blank.CDF	44-2500_191104_50_12_c.CDF	45-2502_191104_63_12_c.CDF	46-2503_191104_71_LN_3.CDF	47-2554_191108_60_8_h.CDF	48-2556_191108_42_3_hxn.CDF
0.389	HC	alkane		C7H16	3-methyl-hexane	2019	0.184534742	0.173109999	0.161802454	0.214484251	0.1921497	0.187790556	0.20008189	0.198088107	0.367555764	0.181859376	0.201235557	0.243037117	0.218550491	0.276089871	0.530706253	0.367767833	0.476989715	0.529482944	0.405922083	0.531681162	0.762896575	0.332835926	0.152133242	0.223000706	0.215683395	0.151618244	0.215066392	0.198692236	0.02056957	0.20783758	0.182355882	0.159734203	0.22306006	0.23929994	0.214406271	0.157267998	0.221339362	0.110787608	0.706199822	0.154834272
0.394	OTHER	other	Y	C6H18OSi2	hexamethyl-disiloxane	2019	0.053493593	0.025711887	0.033392284	0.025637761	0.029800428	0.012700124	0.045100965	0.020634004	0.02961002	0.075448617	0.06851241	0.130619127	0.198683003	0.161376529	0.039550436	0.037744603	0.004416421	0.08032416	0.013978215	0.025223377	0	0.017169905	0.404615089	0.14942448	0.070625491	0.080830767	0.098086236	0.235713012	0.063984453	0.215284602	0.112933954	0.219971477	0.231615053	0.200706377	0.089459283	0.104422709	0.02603023	0.136229149	0.090723483	0.005420893
0.395	OTHER	other	?		other	2019	0.162191012	0.143560473	0.192168614	0.140424178	0.21059072	0.233046056	0.253702758	0.198415828	0.244250954	0.102363193	0.174492001	0.11854332	0.072643821	0.10029828	0.103703393	0.081487324	0.168647325	0.135780107	0.107806564	0.170254127	0.19420426	0.112261815	0.17410333	0.168951491	0.211768291	0.2062587	0.199809442	0.13355072	0.078068696	0.132781783	0.088488751	0.063401905	0.094324044	0.078051153	0.138346453	0.128956743	0.185998759	0.12029967	0.108916435	0.504852587
0.393	OTHER	other	Y	C2H8O2Si	dimethyl-silanediol	2019	0.242084017	0.305697404	0.175741809	0.320501642	0.185398862	0.293330913	0.355351117	0.326763518	0.385550341	0.351375543	0.622049069	0.15789945	0.434687333	0.338898053	0.141607963	0.378403166	0.302591175	0.061703276	0.542183258	0.080512781	0.056139407	0.240735388	0.259623372	0.751534013	0.792488069	0.43124029	0.526874447	0.673154655	0.400248872	0.77217898	0.894397741	0.659310392	1.100500709	0.777007553	0.210505778	1.283143284	0.372992819	0.290085248	0.103486221	1.12888314
0.402	OVOC	ester		C5H10O2	methyl isobutyrate	2019	0.011411753	0	0.007348331	0.008323444	0.015867899	0.011126721	0.011558149	0.011280928	0.021789335	0.02184608	0.02391625	0.009615745	0.005261651	0.011872954	0.024821185	0.012038126	0.040510915	0.019742987	0.017117274	0.022037694	0.047068358	0.023772032	0.018600725	0.020682379	0.00629378	0.026330772	0.020033246	0.014794097	0.006536458	0.020968107	0.010320362	0.004712239	0.019880656	0.005786708	0.019710949	0.035348308	0.023216782	0.015973444	0.029569012	0.025579827
0.404	OVOC	ketone		C5H10O	2-pentanone	2019	0.26013742	0.098823197	0.152033796	0.208774816	0.28972557	0.234310544	0.225540301	0.217072136	0.242830406	0.210520055	0.341053161	0.249723229	0.146422714	0.248357066	0.511486122	0.29004266	1.019769552	0.354264799	0.648120215	0.392854799	0.803111121	0.462289955	0.346216594	0.99141161	0.173352086	0.356774197	0.243775311	0.264100228	0.282289372	0.360003912	0.372603853	0.146501873	0.646451223	0.202534575	0.262164922	0.258392965	0.394532266	0.233228401	0.243235118	0.49036682
0.406	HC	alkane		C8H18	2,2,3,3-tetramethyl-butane	2019	0.404290181	0.317639064	0.421154863	0.451506783	0.586172231	0.499228749	0.629043842	0.47959915	0.53002434	0.593603323	0.688617889	0.468137158	0.443135911	0.522716456	0.737336853	0.552714046	0.931603154	0.76660571	0.568367117	0.632891665	0.673217311	0.705402901	0.602518472	0.948049015	0.567344428	0.622601369	0.493914115	0.53154235	0.341656562	0.561159332	0.571484886	0.551814556	0.616497762	0.710060845	0.390118142	0.654585082	0.672556123	0.578544989	0.795745868	1.088142888
0.42	OVOC	aldehyde		C5H10O	pentanal	2019	0.747664636	0.213017032	0.468644972	0.524891913	1.288223669	1.145353752	0.67283657	1.058414045	0.565175189	1.529188595	0.947813535	0.993000404	0.315542112	0.626777837	1.758823671	0.8293985	6.765938925	2.013572876	2.006591585	2.139053936	2.058554403	2.945006786	1.397438019	1.458237976	0.466602623	1.242760901	0.684791055	0.64693272	0.459629746	1.123698441	0.748685774	0.430357251	0.827961842	0.605295456	0.710229857	1.289342802	2.458760034	0.79290402	0.506839549	1.619827937
0.418	OVOC	ketone		C5H10O	3-pentanone	2019	0.1000635	0.026226963	0.054618669	0.048148969	0.095255081	0.097959156	0.069452919	0.087486071	0.079994569	0.051689984	0.116381015	0.08779784	0.0463742	0.065443816	0.120439705	0.096734989	0.187521805	0.195293928	0.158744802	0.101489268	0.255947085	0.145909803	0.113071268	0.132768797	0.056922872	0.090661024	0.059118659	0.081996007	0.064448156	0.081577278	0.073185006	0.051772984	0.080029289	0.037298518	0.063164367	0.063404404	0.101148699	0.059339384	0.087420086	0.181274468
0.421	HC	alkane		C7H16	heptane	2019	0.514552484	0.493391975	0.50285814	0.636350763	0.628389755	0.518402297	0.567797044	0.567532536	0.822281923	0.514451573	0.651619175	0.595575199	0.599997481	0.690352123	0.660900497	0.510062949	1.33705468	0.664612857	0.529689124	0.643026603	0.82176955	0.693108284	0.72162103	0.625452205	0.523072638	0.604127342	0.58123495	0.527395467	0.133450515	0.730248433	0.572429668	0.576771263	0.662446208	0.666452517	0.659916667	0.468727411	0.560698997	0.500417437	0.849611554	0.533271688
