Filename,RRT,Group,Class,MF,Treatment,ID,Year,Month,VOC,ER_final,log_10,Plot,sampling
9.2385_191101_47_8_h.CDF,0.866,MT,MT,C10H16,H,8_h,2019,August,a-pinene,0,7.56,8,four
7.2383_191101_45_6_n.CDF,0.77,OVOC,acid,C6H8O2,N,6_n,2019,August,sorbic acid,0,7.56,6,four
6.2382_191101_44_5_h.CDF,1.175,HC,alkane,C13H28,H,5_h,2019,August,alkane,0,7.58,5,four
6.2382_191101_44_5_h.CDF,1.507,OTHER,nitro,C8H7N,H,5_h,2019,August,indole,0,7.61,5,four
3.2378_191101_40_1_c.CDF,0.82,OTHER,other,,C,1_c,2019,August,other,0,7.66,1,four
3.2378_191101_40_1_c.CDF,0.715,HC,Bz,C8H10,C,1_c,2019,August,ethylbenzene,0,7.68,1,four
44.2500_191104_50_12_c.CDF,0.691,GLV,aldehyde,C6H10O,C,12_c,2019,August,trans-2-hexen-1-al,0,7.69,12,four
7.2383_191101_45_6_n.CDF,0.547,OVOC,ester,C6H12O2,N,6_n,2019,August,"butanoic acid, 2-methyl-, methyl ester",0.01,7.71,6,four
7.2383_191101_45_6_n.CDF,0.797,OVOC,ovoc,C7H12O,N,6_n,2019,August,ovoc,0.01,7.71,6,four
9.2385_191101_47_8_h.CDF,1.507,OTHER,nitro,C8H7N,H,8_h,2019,August,indole,0.01,7.72,8,four
5.2381_191101_43_4_hxn.CDF,0.471,HC,alkene,C8H16,HxN,4_hxn,2019,August,"3,4,4-trimethyl-2-pentene",0.01,7.74,4,four
48.2556_191108_42_3_hxn.CDF,0.402,OVOC,ester,C5H10O2,HxN,3_hxn,2019,August,methyl isobutyrate,0.01,7.75,3,four
8.2384_191101_46_7_hxn.CDF,0.418,OVOC,ketone,C5H10O,HxN,7_hxn,2019,August,3-pentanone,0.01,7.76,7,four
44.2500_191104_50_12_c.CDF,0.389,HC,alkane,C7H16,C,12_c,2019,August,3-methyl-hexane,0.01,7.79,12,four
44.2500_191104_50_12_c.CDF,1.022,MT,MT,C10H16,C,12_c,2019,August,3-carene,0.01,7.79,12,four
48.2556_191108_42_3_hxn.CDF,0.352,OVOC,furan,C5H10O,HxN,3_hxn,2019,August,furan,0.01,7.8,3,four
6.2382_191101_44_5_h.CDF,0.395,OTHER,other,,H,5_h,2019,August,other,0.01,7.81,5,four
8.2384_191101_46_7_hxn.CDF,0.775,HC,Bz,C8H8,HxN,7_hxn,2019,August,styrene,0.01,7.83,7,four
9.2385_191101_47_8_h.CDF,1.168,OVOC,oBz,C9H12O,H,8_h,2019,August,"a,a-dimethyl-benzenemethanol",0.01,7.86,8,four
3.2378_191101_40_1_c.CDF,0.781,HC,Bz,C8H10,C,1_c,2019,August,o-xylene,0.01,7.88,1,four
3.2378_191101_40_1_c.CDF,1.846,ST,ST,C15H24,C,1_c,2019,August,a-humulene,0.01,7.89,1,four
7.2383_191101_45_6_n.CDF,0.418,OVOC,ketone,C5H10O,N,6_n,2019,August,3-pentanone,0.01,7.89,6,four
6.2382_191101_44_5_h.CDF,1.168,OVOC,oBz,C9H12O,H,5_h,2019,August,"a,a-dimethyl-benzenemethanol",0.01,7.9,5,four
44.2500_191104_50_12_c.CDF,1.846,ST,ST,C15H24,C,12_c,2019,August,a-humulene,0.01,7.9,12,four
48.2556_191108_42_3_hxn.CDF,1.167,oMT,oMT,C10H16O,HxN,3_hxn,2019,August,fenchone,0.01,7.9,3,four
44.2500_191104_50_12_c.CDF,0.321,OVOC,ester,C4H8O2,C,12_c,2019,August,ethyl acetate,0.01,7.91,12,four
8.2384_191101_46_7_hxn.CDF,0.366,OVOC,ketone,C5H10O,HxN,7_hxn,2019,August,3-methyl-2-butanone,0.01,7.91,7,four
3.2378_191101_40_1_c.CDF,0.418,OVOC,ketone,C5H10O,C,1_c,2019,August,3-pentanone,0.01,7.91,1,four
3.2378_191101_40_1_c.CDF,0.306,HC,alkane,C6H14,C,1_c,2019,August,hexane,0.01,7.93,1,four
7.2383_191101_45_6_n.CDF,0.732,HC,Bz,C8H10,N,6_n,2019,August,p-xylene,0.01,7.93,6,four
7.2383_191101_45_6_n.CDF,1.117,MT,MT,C10H16,N,6_n,2019,August,y-terpinene,0.01,7.94,6,four
