"RRT"	"Group"	"Class"	"Exclude"	"MF"	"VOC"	"X10.11_n_JUN.CDF"	"X1.1_c_JUN.CDF"	"X2.2_h_JUN.CDF"	"X3.3_hxn_JUN.CDF"	"X4.4_hxn_JUN.CDF"	"X5.5_h_JUN.CDF"	"X6.6_n_JUN.CDF"	"X7.7_hxn_JUN.CDF"	"X8.8_h_JUN.CDF"	"X9.9_n_JUN.CDF"	"X11.12_c_JUN.CDF"	"X12.19_c_JUN.CDF"	"X13.Blank_JUN.CDF"	"X1.1_c_AUG.CDF"	"X2.1_c_OCT.CDF"	"X3.2_h_AUG.CDF"	"X4.2_h_OCT.CDF"	"X5.3_hxn_AUG.CDF"	"X6.3_hxn_OCT.CDF"	"X8.5_h_AUG.CDF"	"X9.5_h_OCT.CDF"	"X10.6_n_AUG.CDF"	"X11.6_n_OCT.CDF"	"X12.7_hxn_AUG.CDF"	"X13.7_hxn_OCT.CDF"	"X14.8_h_AUG.CDF"	"X15.8_h_OCT.CDF"	"X16.9_n_AUG.CDF"	"X17.9_n_OCT.CDF"	"X18.11_n_AUG.CDF"	"X19.11_n_OCT.CDF"	"X20.12_c_AUG.CDF"	"X21.12_c_OCT.CDF"	"X22.19_c_AUG.CDF"	"X23.19_c_OCT.CDF"	"X24.Blank_AUG.CDF"	"X25.Blank_OCT.CDF"	"X7.4_hxn_AUG.CDF"	"Year"
1.52	"HC"	"alkane"	""	"C15H32"	"2,6,11-trimethyl-dodecane"	1.596834209	0.030536691	0.018044462	0.046866683	12.44681978	0.026819391	0	0	0.049603366	3.555075323	0	0.033290712	0.023606009	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.552	"HC"	"alkane"	""	"C13H28"	"tridecane"	9.730735131	0.564562112	0.514845651	0.672301554	1.958449221	0.52998852	0.644407652	0.700882055	1.104619214	1.39096344	0.517510231	0.581000234	0.819133177	0.505475281	0.431335157	0.365817634	3.305015166	1.010714941	1.977755194	0.509744893	1.355981519	0.564371072	4.141502251	0.927390925	3.255847865	6.436822546	4.676626269	0.431883329	1.856980639	1.583256373	2.736956216	0.18781048	0.450419526	9.311298421	1.014801755	0.504199497	0.232126328	0.750147635	2018
1.565	"OVOC"	"ovoc"	""	""	"ovoc"	0.01335063	0.004378091	0.006186762	0.002891022	0.006832933	0.003031764	0.011396611	0.020585552	0.009858237	0.011374535	0.007111457	0.003565242	0.005858966	0.005741283	0.005691922	0.003429029	0.009132132	0.017377828	0.012448207	0.006251813	0.010160722	0.008259297	0.008553572	0.007833779	0.003909399	0.020680449	0.008434392	0.009939864	0.011159525	0.00548951	0.006901316	0.001391088	0.0035435	0.008083262	0.007916748	0.0036363	0.002636913	0.015011071	2018
1.588	"OTHER"	"other"	"Y"	""	"other"	1.614592932	0.228463711	0.197239031	0.351348478	0.277169017	0.197209199	0.228744587	0.282112286	0.305407243	0.3516312	0.063471192	0.243329915	0.269993822	0.253712884	0.354901568	0.035955317	0.293601109	0.64368332	2.500644857	0.340285274	0.311492186	0.418856668	1.137510818	1.261785877	1.096831033	0.540801748	1.380565646	1.064443801	0.251650724	0.716515701	0.42783787	0.018879487	0.148552271	0.506197701	0.254724334	0.119645641	0.201642729	0.392066903	2018
1.599	"HC"	"alkane"	""	"C15H32"	"2,6,10-trimethyl-dodecane"	0	0.159131909	0.208168957	0.235699233	5.629855049	0.187287908	0.249347234	0.190700454	0.285898518	1.893984984	0.154945605	0.184172842	0.179237518	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.599	"oMT"	"oMT"	""	"C10H16O"	"omt"	0	0.019952813	0.036966688	0.025775291	0.024561871	0.024992561	0.064711418	0.045430635	0.050076055	0.041694573	0.049336646	0.025736013	0.022351036	0.026246988	0.021771586	0.017722358	0.045920577	0.073048029	0.211593363	0.041354878	0.029743766	0.038339143	0.087840769	0.048280315	0.03893658	0.076195074	0.07105572	0.028143728	0.050605024	0.028448228	0.046952284	0.006136795	0.010149565	0.045651421	0.022118675	0.015273815	0.010063895	0.056087666	2018
1.604	"OVOC"	"oBz"	""	"C8H6O4"	"1,2-benzenedicarboxylic acid"	1.489471054	1.057753747	1.504803188	1.259458314	0.940129803	1.240171187	2.193379284	1.556646285	2.949041423	1.428491088	2.601734655	1.436903779	0.977120824	1.125842008	0.643818356	0.802989249	0.651807502	2.365846914	0.737053923	1.642041809	0.506843816	0.950465991	1.12252574	1.234581741	0.660229947	0.731561345	1.110524878	0.57065884	0.492876708	1.438067892	1.083873933	0.504832072	0.333451539	0.916034796	0.911030357	0.417361508	0.310876398	1.340455399	2018
1.608	"HC"	"alkane"	""	"C16H34"	"2,2,4,4,6,8,8-heptamethyl-nonane"	49.96499404	0.079260496	0.098411816	0.110097935	0.301671685	0.101243375	0.10480766	0.082836245	0.100514653	0.165995248	0.100402418	0.089878718	0.08624237	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
1.623	"oMT"	"oMT"	""	""	"omt"	0	0	0.001255999	0	0.010041609	0	0.00260557	0	0.000486957	0.004800086	0.006536025	0	0	0.021602783	0.014687138	0.016233001	0.038544602	0.056665528	0.078923967	0.031613813	0.026442878	0.034133999	0.073063109	0.043633343	0.027651576	0.083934443	0.051105131	0.020195298	0.037282151	0.026172105	0.042116361	0.004679719	0.006498806	0.030394085	0.017632243	0.014989817	0.007665802	0.067852761	2018
1.664	"OVOC"	"ovoc"	""	""	"ovoc"	3.291448439	0.096722484	0.120903428	0.144834209	0.342114356	0.128666418	0.146039403	0.13105061	0.238864945	0.305259826	0.077237134	0.12822362	0.116499905	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2018
